town,office,district,party,candidate,votes
Andover,President,,DEM,De La Fuente,1
Ansonia,President,,DEM,De La Fuente,6
Ashford,President,,DEM,De La Fuente,3
Avon,President,,DEM,De La Fuente,5
Barkhamsted,President,,DEM,De La Fuente,2
Beacon Falls,President,,DEM,De La Fuente,4
Berlin,President,,DEM,De La Fuente,11
Bethany,President,,DEM,De La Fuente,2
Bethel,President,,DEM,De La Fuente,9
Bethlehem,President,,DEM,De La Fuente,0
Bloomfield,President,,DEM,De La Fuente,5
Bolton,President,,DEM,De La Fuente,2
Bozrah,President,,DEM,De La Fuente,1
Branford,President,,DEM,De La Fuente,8
Bridgeport,President,,DEM,De La Fuente,36
Bridgewater,President,,DEM,De La Fuente,0
Bristol,President,,DEM,De La Fuente,26
Brookfield,President,,DEM,De La Fuente,2
Brooklyn,President,,DEM,De La Fuente,2
Burlington,President,,DEM,De La Fuente,3
Canaan,President,,DEM,De La Fuente,0
Canterbury,President,,DEM,De La Fuente,1
Canton,President,,DEM,De La Fuente,6
Chaplin,President,,DEM,De La Fuente,0
Cheshire,President,,DEM,De La Fuente,4
Chester,President,,DEM,De La Fuente,1
Clinton,President,,DEM,De La Fuente,0
Colchester,President,,DEM,De La Fuente,6
Colebrook,President,,DEM,De La Fuente,2
Columbia,President,,DEM,De La Fuente,3
Cornwall,President,,DEM,De La Fuente,0
Coventry,President,,DEM,De La Fuente,2
Cromwell,President,,DEM,De La Fuente,6
Danbury,President,,DEM,De La Fuente,15
Darien,President,,DEM,De La Fuente,2
Deep River,President,,DEM,De La Fuente,0
Derby,President,,DEM,De La Fuente,6
Durham,President,,DEM,De La Fuente,2
East Granby,President,,DEM,De La Fuente,1
East Haddam,President,,DEM,De La Fuente,5
East Hampton,President,,DEM,De La Fuente,2
East Hartford,President,,DEM,De La Fuente,13
East Haven,President,,DEM,De La Fuente,9
East Lyme,President,,DEM,De La Fuente,3
East Windsor,President,,DEM,De La Fuente,4
Eastford,President,,DEM,De La Fuente,1
Easton,President,,DEM,De La Fuente,3
Ellington,President,,DEM,De La Fuente,3
Enfield,President,,DEM,De La Fuente,20
Essex,President,,DEM,De La Fuente,1
Fairfield,President,,DEM,De La Fuente,11
Farmington,President,,DEM,De La Fuente,14
Franklin,President,,DEM,De La Fuente,0
Glastonbury,President,,DEM,De La Fuente,10
Goshen,President,,DEM,De La Fuente,0
Granby,President,,DEM,De La Fuente,2
Greenwich,President,,DEM,De La Fuente,9
Griswold,President,,DEM,De La Fuente,4
Groton,President,,DEM,De La Fuente,2
Guilford,President,,DEM,De La Fuente,7
Haddam,President,,DEM,De La Fuente,4
Hamden,President,,DEM,De La Fuente,31
Hampton,President,,DEM,De La Fuente,1
Hartford,President,,DEM,De La Fuente,32
Hartland,President,,DEM,De La Fuente,0
Harwinton,President,,DEM,De La Fuente,1
Hebron,President,,DEM,De La Fuente,1
Kent,President,,DEM,De La Fuente,0
Killingly,President,,DEM,De La Fuente,0
Killingworth,President,,DEM,De La Fuente,2
Lebanon,President,,DEM,De La Fuente,2
Ledyard,President,,DEM,De La Fuente,4
Lisbon,President,,DEM,De La Fuente,4
Litchfield,President,,DEM,De La Fuente,2
Lyme,President,,DEM,De La Fuente,0
Madison,President,,DEM,De La Fuente,5
Manchester,President,,DEM,De La Fuente,12
Mansfield,President,,DEM,De La Fuente,3
Marlborough,President,,DEM,De La Fuente,2
Meriden,President,,DEM,De La Fuente,15
Middlebury,President,,DEM,De La Fuente,1
Middlefield,President,,DEM,De La Fuente,1
Middletown,President,,DEM,De La Fuente,14
Milford,President,,DEM,De La Fuente,11
Monroe,President,,DEM,De La Fuente,3
Montville,President,,DEM,De La Fuente,7
Morris,President,,DEM,De La Fuente,1
Naugatuck,President,,DEM,De La Fuente,9
New Britain,President,,DEM,De La Fuente,23
New Canaan,President,,DEM,De La Fuente,1
New Fairfield,President,,DEM,De La Fuente,2
New Hartford,President,,DEM,De La Fuente,0
New Haven,President,,DEM,De La Fuente,35
New London,President,,DEM,De La Fuente,10
New Milford,President,,DEM,De La Fuente,5
Newington,President,,DEM,De La Fuente,15
Newtown,President,,DEM,De La Fuente,8
Norfolk,President,,DEM,De La Fuente,0
North Branford,President,,DEM,De La Fuente,3
North Canaan,President,,DEM,De La Fuente,1
North Haven,President,,DEM,De La Fuente,2
North Stonington,President,,DEM,De La Fuente,0
Norwalk,President,,DEM,De La Fuente,11
Norwich,President,,DEM,De La Fuente,11
Old Lyme,President,,DEM,De La Fuente,0
Old Saybrook,President,,DEM,De La Fuente,2
Orange,President,,DEM,De La Fuente,1
Oxford,President,,DEM,De La Fuente,3
Plainfield,President,,DEM,De La Fuente,4
Plainville,President,,DEM,De La Fuente,7
Plymouth,President,,DEM,De La Fuente,1
Pomfret,President,,DEM,De La Fuente,0
Portland,President,,DEM,De La Fuente,8
Preston,President,,DEM,De La Fuente,4
Prospect,President,,DEM,De La Fuente,5
Putnam,President,,DEM,De La Fuente,3
Redding,President,,DEM,De La Fuente,3
Ridgefield,President,,DEM,De La Fuente,6
Rocky Hill,President,,DEM,De La Fuente,9
Roxbury,President,,DEM,De La Fuente,2
Salem,President,,DEM,De La Fuente,4
Salisbury,President,,DEM,De La Fuente,2
Scotland,President,,DEM,De La Fuente,2
Seymour,President,,DEM,De La Fuente,3
Sharon,President,,DEM,De La Fuente,0
Shelton,President,,DEM,De La Fuente,15
Sherman,President,,DEM,De La Fuente,0
Simsbury,President,,DEM,De La Fuente,7
Somers,President,,DEM,De La Fuente,2
South Windsor,President,,DEM,De La Fuente,7
Southbury,President,,DEM,De La Fuente,3
Southington,President,,DEM,De La Fuente,19
Sprague,President,,DEM,De La Fuente,0
Stafford,President,,DEM,De La Fuente,7
Stamford,President,,DEM,De La Fuente,31
